Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Logistic Regression,0.8046218487394958,0.7986390612369331,0.6002274811798023,0.6219222782240444,0.7896168136936093
Naive Bayes,0.8088235294117647,0.8788018743565319,0.5794302141748867,0.5858934156511165,0.7884428737143326
Linear SVM,0.8245798319327731,0.8078151059832157,0.7132785028513577,0.7470146206931597,0.8211089030099322
